ROI_number,ROI_Label,Network,Value
1,17Networks_LH_VisCent_ExStr_1,1,-4.22E+00
2,17Networks_LH_VisCent_ExStr_2,1,-4.94E-01
3,17Networks_LH_VisCent_Striate_1,1,-3.50E+00
4,17Networks_LH_VisCent_ExStr_3,1,-3.50E+00
5,17Networks_LH_VisCent_ExStr_4,1,-3.83E+00
6,17Networks_LH_VisCent_ExStr_5,1,-4.21E+00
7,17Networks_LH_VisPeri_ExStrInf_1,2,-3.77E+00
8,17Networks_LH_VisPeri_ExStrInf_2,2,-4.38E+00
9,17Networks_LH_VisPeri_ExStrInf_3,2,-3.29E+00
10,17Networks_LH_VisPeri_StriCal_1,2,-3.94E+00
11,17Networks_LH_VisPeri_ExStrSup_1,2,-4.32E+00
12,17Networks_LH_VisPeri_ExStrSup_2,2,-4.41E+00
13,17Networks_LH_SomMotA_1,3,-4.48E+00
14,17Networks_LH_SomMotA_2,3,-5.32E+00
15,17Networks_LH_SomMotA_3,3,-5.34E+00
16,17Networks_LH_SomMotA_4,3,-5.26E+00
17,17Networks_LH_SomMotA_5,3,-5.25E+00
18,17Networks_LH_SomMotA_6,3,-4.81E+00
19,17Networks_LH_SomMotA_7,3,-5.21E+00
20,17Networks_LH_SomMotA_8,3,-4.80E+00
21,17Networks_LH_SomMotB_Aud_1,4,-3.28E+00
22,17Networks_LH_SomMotB_Aud_2,4,-3.56E+00
23,17Networks_LH_SomMotB_S2_1,4,-4.35E+00
24,17Networks_LH_SomMotB_S2_2,4,-4.06E+00
25,17Networks_LH_SomMotB_Aud_3,4,-2.42E+00
26,17Networks_LH_SomMotB_S2_3,4,-4.56E+00
27,17Networks_LH_SomMotB_Cent_1,4,-4.80E+00
28,17Networks_LH_SomMotB_Cent_2,4,-4.01E+00
29,17Networks_LH_DorsAttnA_TempOcc_1,5,-1.25E+00
30,17Networks_LH_DorsAttnA_TempOcc_2,5,-3.64E+00
31,17Networks_LH_DorsAttnA_ParOcc_1,5,-3.73E+00
32,17Networks_LH_DorsAttnA_SPL_1,5,-6.12E-01
33,17Networks_LH_DorsAttnA_SPL_2,5,-2.32E+00
34,17Networks_LH_DorsAttnA_SPL_3,5,-3.91E+00
35,17Networks_LH_DorsAttnB_PostC_1,6,-3.61E+00
36,17Networks_LH_DorsAttnB_PostC_2,6,-4.19E+00
37,17Networks_LH_DorsAttnB_PostC_3,6,-4.91E+00
38,17Networks_LH_DorsAttnB_PostC_4,6,-4.33E+00
39,17Networks_LH_DorsAttnB_FEF_1,6,-1.80E+00
40,17Networks_LH_SalVentAttnA_ParOper_1,7,-2.87E+00
41,17Networks_LH_SalVentAttnA_Ins_1,7,-2.77E+00
42,17Networks_LH_SalVentAttnA_FrOper_1,7,-3.30E+00
43,17Networks_LH_SalVentAttnA_FrOper_2,7,-1.80E-02
44,17Networks_LH_SalVentAttnA_ParMed_1,7,-2.77E+00
45,17Networks_LH_SalVentAttnA_FrMed_1,7,-2.89E+00
46,17Networks_LH_SalVentAttnA_FrMed_2,7,-3.66E+00
47,17Networks_LH_SalVentAttnB_IPL_1,8,-4.71E-01
48,17Networks_LH_SalVentAttnB_PFCl_1,8,4.18E-01
49,17Networks_LH_SalVentAttnB_Ins_1,8,-5.37E-01
50,17Networks_LH_SalVentAttnB_PFCmp_1,8,3.23E-02
51,17Networks_LH_LimbicB_OFC_1,9,2.29E+00
52,17Networks_LH_LimbicB_OFC_2,9,4.75E+00
53,17Networks_LH_LimbicA_TempPole_1,10,1.40E+00
54,17Networks_LH_LimbicA_TempPole_2,10,2.21E+00
55,17Networks_LH_LimbicA_TempPole_3,10,2.50E+00
56,17Networks_LH_LimbicA_TempPole_4,10,-2.05E-01
57,17Networks_LH_ContA_Temp_1,11,-7.78E-01
58,17Networks_LH_ContA_IPS_1,11,4.17E+00
59,17Networks_LH_ContA_IPS_2,11,1.99E+00
60,17Networks_LH_ContA_IPS_3,11,-1.56E+00
61,17Networks_LH_ContA_PFCd_1,11,-8.55E-02
62,17Networks_LH_ContA_PFClv_1,11,1.51E+00
63,17Networks_LH_ContA_PFCl_1,11,3.48E+00
64,17Networks_LH_ContA_PFCl_2,11,-5.22E-01
65,17Networks_LH_ContA_PFCl_3,11,3.11E+00
66,17Networks_LH_ContA_Cingm_1,11,9.49E-01
67,17Networks_LH_ContB_Temp_1,12,5.08E+00
68,17Networks_LH_ContB_IPL_1,12,5.31E+00
69,17Networks_LH_ContB_PFCl_1,12,6.21E+00
70,17Networks_LH_ContB_PFClv_1,12,5.70E+00
71,17Networks_LH_ContB_PFClv_2,12,4.23E+00
72,17Networks_LH_ContC_pCun_1,13,2.56E+00
73,17Networks_LH_ContC_pCun_2,13,-1.00E+00
74,17Networks_LH_ContC_Cingp_1,13,9.34E-01
75,17Networks_LH_DefaultA_IPL_1,14,6.47E+00
76,17Networks_LH_DefaultA_PFCd_1,14,5.15E+00
77,17Networks_LH_DefaultA_pCunPCC_1,14,6.16E+00
78,17Networks_LH_DefaultA_pCunPCC_2,14,5.28E+00
79,17Networks_LH_DefaultA_pCunPCC_3,14,3.88E+00
80,17Networks_LH_DefaultA_PFCm_1,14,5.23E+00
81,17Networks_LH_DefaultA_PFCm_2,14,5.93E+00
82,17Networks_LH_DefaultA_PFCm_3,14,4.23E+00
83,17Networks_LH_DefaultB_Temp_1,15,5.79E+00
84,17Networks_LH_DefaultB_Temp_2,15,6.32E+00
85,17Networks_LH_DefaultB_Temp_3,15,3.23E+00
86,17Networks_LH_DefaultB_Temp_4,15,5.07E+00
87,17Networks_LH_DefaultB_IPL_1,15,5.49E+00
88,17Networks_LH_DefaultB_PFCd_1,15,6.20E+00
89,17Networks_LH_DefaultB_PFCd_2,15,6.52E+00
90,17Networks_LH_DefaultB_PFCd_3,15,4.80E+00
91,17Networks_LH_DefaultB_PFCd_4,15,4.00E+00
92,17Networks_LH_DefaultB_PFCv_1,15,3.87E+00
93,17Networks_LH_DefaultB_PFCv_2,15,2.75E+00
94,17Networks_LH_DefaultB_PFCv_3,15,5.12E+00
95,17Networks_LH_DefaultB_PFCv_4,15,4.94E+00
96,17Networks_LH_DefaultC_IPL_1,16,2.48E+00
97,17Networks_LH_DefaultC_Rsp_1,16,2.80E+00
98,17Networks_LH_DefaultC_PHC_1,16,1.46E+00
99,17Networks_LH_TempPar_1,17,3.09E-01
100,17Networks_LH_TempPar_2,17,2.04E+00
101,17Networks_RH_VisCent_ExStr_1,1,-4.27E+00
102,17Networks_RH_VisCent_ExStr_2,1,-4.12E+00
103,17Networks_RH_VisCent_Striate_1,1,-3.11E+00
104,17Networks_RH_VisCent_ExStr_3,1,-2.05E+00
105,17Networks_RH_VisCent_ExStr_4,1,-3.95E+00
106,17Networks_RH_VisCent_ExStr_5,1,-4.41E+00
107,17Networks_RH_VisPeri_ExStrInf_1,2,-4.41E+00
108,17Networks_RH_VisPeri_ExStrInf_2,2,-3.42E+00
109,17Networks_RH_VisPeri_StriCal_1,2,-3.97E+00
110,17Networks_RH_VisPeri_ExStrSup_1,2,-4.12E+00
111,17Networks_RH_VisPeri_ExStrSup_2,2,-4.43E+00
112,17Networks_RH_VisPeri_ExStrSup_3,2,-4.17E+00
113,17Networks_RH_SomMotA_1,3,-5.30E+00
114,17Networks_RH_SomMotA_2,3,-4.57E+00
115,17Networks_RH_SomMotA_3,3,-5.12E+00
116,17Networks_RH_SomMotA_4,3,-5.33E+00
117,17Networks_RH_SomMotA_5,3,-5.03E+00
118,17Networks_RH_SomMotA_6,3,-5.25E+00
119,17Networks_RH_SomMotA_7,3,-5.25E+00
120,17Networks_RH_SomMotA_8,3,-4.68E+00
121,17Networks_RH_SomMotA_9,3,-5.15E+00
122,17Networks_RH_SomMotA_10,3,-5.23E+00
123,17Networks_RH_SomMotA_11,3,-4.88E+00
124,17Networks_RH_SomMotB_Aud_1,4,-3.60E+00
125,17Networks_RH_SomMotB_Aud_2,4,-3.19E+00
126,17Networks_RH_SomMotB_S2_1,4,-4.46E+00
127,17Networks_RH_SomMotB_S2_2,4,-4.44E+00
128,17Networks_RH_SomMotB_S2_3,4,-3.87E+00
129,17Networks_RH_SomMotB_S2_4,4,-4.57E+00
130,17Networks_RH_SomMotB_Cent_1,4,-4.80E+00
131,17Networks_RH_DorsAttnA_TempOcc_1,5,-2.50E+00
132,17Networks_RH_DorsAttnA_ParOcc_1,5,-2.37E+00
133,17Networks_RH_DorsAttnA_SPL_1,5,-2.86E+00
134,17Networks_RH_DorsAttnA_SPL_2,5,-6.46E-01
135,17Networks_RH_DorsAttnA_SPL_3,5,-2.23E+00
136,17Networks_RH_DorsAttnA_SPL_4,5,-3.56E+00
137,17Networks_RH_DorsAttnB_PostC_1,6,-4.08E+00
138,17Networks_RH_DorsAttnB_PostC_2,6,-4.38E+00
139,17Networks_RH_DorsAttnB_PostC_3,6,-2.41E+00
140,17Networks_RH_DorsAttnB_PostC_4,6,-4.41E+00
141,17Networks_RH_DorsAttnB_FEF_1,6,-2.91E+00
142,17Networks_RH_SalVentAttnA_ParOper_1,7,-2.58E+00
143,17Networks_RH_SalVentAttnA_PrC_1,7,-1.59E+00
144,17Networks_RH_SalVentAttnA_Ins_1,7,-1.97E+00
145,17Networks_RH_SalVentAttnA_Ins_2,7,-3.09E+00
146,17Networks_RH_SalVentAttnA_FrOper_1,7,-2.56E+00
