ROI_Label,PC1
17Networks_LH_VisCent_ExStr_1,1.02E+02
17Networks_LH_VisCent_ExStr_2,1.31E+02
17Networks_LH_VisCent_Striate_1,1.65E+02
17Networks_LH_VisCent_ExStr_3,1.38E+02
17Networks_LH_VisCent_ExStr_4,6.15E+01
17Networks_LH_VisCent_ExStr_5,9.89E+01
17Networks_LH_VisPeri_ExStrInf_1,6.49E+01
17Networks_LH_VisPeri_ExStrInf_2,1.38E+02
17Networks_LH_VisPeri_ExStrInf_3,-2.09E+01
17Networks_LH_VisPeri_StriCal_1,1.34E+02
17Networks_LH_VisPeri_ExStrSup_1,8.05E+01
17Networks_LH_VisPeri_ExStrSup_2,1.10E+02
17Networks_LH_SomMotA_1,-2.80E+01
17Networks_LH_SomMotA_2,6.01E+01
17Networks_LH_SomMotA_3,9.19E+01
17Networks_LH_SomMotA_4,5.08E+01
17Networks_LH_SomMotA_5,5.17E+01
17Networks_LH_SomMotA_6,-2.97E-01
17Networks_LH_SomMotA_7,4.06E+01
17Networks_LH_SomMotA_8,7.19E+01
17Networks_LH_SomMotB_Aud_1,-1.98E+01
17Networks_LH_SomMotB_Aud_2,4.08E+01
17Networks_LH_SomMotB_S2_1,6.40E+00
17Networks_LH_SomMotB_S2_2,-2.50E+01
17Networks_LH_SomMotB_Aud_3,1.64E+01
17Networks_LH_SomMotB_S2_3,6.85E+01
17Networks_LH_SomMotB_Cent_1,3.15E+01
17Networks_LH_SomMotB_Cent_2,1.60E+01
17Networks_LH_DorsAttnA_TempOcc_1,-6.06E-01
17Networks_LH_DorsAttnA_TempOcc_2,3.61E+01
17Networks_LH_DorsAttnA_ParOcc_1,5.39E+01
17Networks_LH_DorsAttnA_SPL_1,5.85E+01
17Networks_LH_DorsAttnA_SPL_2,4.71E+01
17Networks_LH_DorsAttnA_SPL_3,4.47E+01
17Networks_LH_DorsAttnB_PostC_1,2.07E+01
17Networks_LH_DorsAttnB_PostC_2,3.59E+01
17Networks_LH_DorsAttnB_PostC_3,3.34E+01
17Networks_LH_DorsAttnB_PostC_4,2.31E+01
17Networks_LH_DorsAttnB_FEF_1,-1.38E+01
17Networks_LH_SalVentAttnA_ParOper_1,8.87E-01
17Networks_LH_SalVentAttnA_Ins_1,-6.83E+01
17Networks_LH_SalVentAttnA_FrOper_1,-7.81E+01
17Networks_LH_SalVentAttnA_FrOper_2,-6.59E+01
17Networks_LH_SalVentAttnA_ParMed_1,-1.44E+00
17Networks_LH_SalVentAttnA_FrMed_1,-7.98E+01
17Networks_LH_SalVentAttnA_FrMed_2,-1.51E+01
17Networks_LH_SalVentAttnB_IPL_1,-5.55E+00
17Networks_LH_SalVentAttnB_PFCl_1,-2.74E+01
17Networks_LH_SalVentAttnB_Ins_1,-6.35E+01
17Networks_LH_SalVentAttnB_PFCmp_1,-1.21E+02
17Networks_LH_LimbicB_OFC_1,-8.28E+01
17Networks_LH_LimbicB_OFC_2,-7.74E+01
17Networks_LH_LimbicA_TempPole_1,-1.26E+02
17Networks_LH_LimbicA_TempPole_2,-8.50E+01
17Networks_LH_LimbicA_TempPole_3,-1.32E+02
17Networks_LH_LimbicA_TempPole_4,-1.18E+02
17Networks_LH_ContA_Temp_1,9.03E+00
17Networks_LH_ContA_IPS_1,4.38E+01
17Networks_LH_ContA_IPS_2,1.62E+01
17Networks_LH_ContA_IPS_3,3.69E+01
17Networks_LH_ContA_PFCd_1,-3.97E+01
17Networks_LH_ContA_PFClv_1,-5.07E+00
17Networks_LH_ContA_PFCl_1,3.45E+00
17Networks_LH_ContA_PFCl_2,-1.59E+01
17Networks_LH_ContA_PFCl_3,-1.36E+01
17Networks_LH_ContA_Cingm_1,-1.07E+02
17Networks_LH_ContB_Temp_1,-3.37E+01
17Networks_LH_ContB_IPL_1,2.65E+00
17Networks_LH_ContB_PFCl_1,-1.79E+01
17Networks_LH_ContB_PFClv_1,-3.40E+01
17Networks_LH_ContB_PFClv_2,-1.40E+01
17Networks_LH_ContC_pCun_1,6.41E+01
17Networks_LH_ContC_pCun_2,3.15E+01
17Networks_LH_ContC_Cingp_1,1.72E+01
17Networks_LH_DefaultA_IPL_1,1.73E+01
17Networks_LH_DefaultA_PFCd_1,-2.69E+01
17Networks_LH_DefaultA_pCunPCC_1,2.06E+01
17Networks_LH_DefaultA_pCunPCC_2,-1.14E+01
17Networks_LH_DefaultA_pCunPCC_3,2.70E+01
17Networks_LH_DefaultA_PFCm_1,-8.53E+01
17Networks_LH_DefaultA_PFCm_2,-4.90E+01
17Networks_LH_DefaultA_PFCm_3,-1.00E+02
