ROI_number,ROI_Label,Network,Value
1,17Networks_LH_VisCent_ExStr_1,1,1.86E+01
2,17Networks_LH_VisCent_ExStr_2,1,1.93E+01
3,17Networks_LH_VisCent_Striate_1,1,1.68E+01
4,17Networks_LH_VisCent_ExStr_3,1,1.69E+01
5,17Networks_LH_VisCent_ExStr_4,1,1.68E+01
6,17Networks_LH_VisCent_ExStr_5,1,1.50E+01
7,17Networks_LH_VisPeri_ExStrInf_1,2,2.10E+01
8,17Networks_LH_VisPeri_ExStrInf_2,2,1.83E+01
9,17Networks_LH_VisPeri_ExStrInf_3,2,2.25E+01
10,17Networks_LH_VisPeri_StriCal_1,2,1.74E+01
11,17Networks_LH_VisPeri_ExStrSup_1,2,1.58E+01
12,17Networks_LH_VisPeri_ExStrSup_2,2,1.47E+01
13,17Networks_LH_SomMotA_1,3,1.99E+01
14,17Networks_LH_SomMotA_2,3,1.38E+01
15,17Networks_LH_SomMotA_3,3,1.35E+01
16,17Networks_LH_SomMotA_4,3,1.48E+01
17,17Networks_LH_SomMotA_5,3,1.38E+01
18,17Networks_LH_SomMotA_6,3,2.01E+01
19,17Networks_LH_SomMotA_7,3,1.66E+01
20,17Networks_LH_SomMotA_8,3,1.44E+01
21,17Networks_LH_SomMotB_Aud_1,4,2.33E+01
22,17Networks_LH_SomMotB_Aud_2,4,1.86E+01
23,17Networks_LH_SomMotB_S2_1,4,1.87E+01
24,17Networks_LH_SomMotB_S2_2,4,2.20E+01
25,17Networks_LH_SomMotB_Aud_3,4,1.65E+01
26,17Networks_LH_SomMotB_S2_3,4,1.58E+01
27,17Networks_LH_SomMotB_Cent_1,4,1.93E+01
28,17Networks_LH_SomMotB_Cent_2,4,1.82E+01
29,17Networks_LH_DorsAttnA_TempOcc_1,5,2.28E+01
30,17Networks_LH_DorsAttnA_TempOcc_2,5,2.01E+01
31,17Networks_LH_DorsAttnA_ParOcc_1,5,1.74E+01
32,17Networks_LH_DorsAttnA_SPL_1,5,1.37E+01
33,17Networks_LH_DorsAttnA_SPL_2,5,1.33E+01
34,17Networks_LH_DorsAttnA_SPL_3,5,1.30E+01
35,17Networks_LH_DorsAttnB_PostC_1,6,1.54E+01
36,17Networks_LH_DorsAttnB_PostC_2,6,1.28E+01
37,17Networks_LH_DorsAttnB_PostC_3,6,1.29E+01
38,17Networks_LH_DorsAttnB_PostC_4,6,1.32E+01
39,17Networks_LH_DorsAttnB_FEF_1,6,2.06E+01
40,17Networks_LH_SalVentAttnA_ParOper_1,7,1.72E+01
41,17Networks_LH_SalVentAttnA_Ins_1,7,2.68E+01
42,17Networks_LH_SalVentAttnA_FrOper_1,7,2.25E+01
43,17Networks_LH_SalVentAttnA_FrOper_2,7,2.49E+01
44,17Networks_LH_SalVentAttnA_ParMed_1,7,1.60E+01
45,17Networks_LH_SalVentAttnA_FrMed_1,7,2.02E+01
46,17Networks_LH_SalVentAttnA_FrMed_2,7,2.16E+01
47,17Networks_LH_SalVentAttnB_IPL_1,8,1.59E+01
48,17Networks_LH_SalVentAttnB_PFCl_1,8,3.22E+01
49,17Networks_LH_SalVentAttnB_Ins_1,8,2.65E+01
50,17Networks_LH_SalVentAttnB_PFCmp_1,8,2.45E+01
51,17Networks_LH_LimbicB_OFC_1,9,3.34E+01
