ROI_number,ROI_Label,Network,Value
1,17Networks_LH_VisCent_ExStr_1,1,-1.26E+00
2,17Networks_LH_VisCent_ExStr_2,1,-1.15E+00
3,17Networks_LH_VisCent_Striate_1,1,-1.64E+00
4,17Networks_LH_VisCent_ExStr_3,1,-1.15E+00
5,17Networks_LH_VisCent_ExStr_4,1,-6.48E-01
6,17Networks_LH_VisCent_ExStr_5,1,-1.06E+00
7,17Networks_LH_VisPeri_ExStrInf_1,2,-9.82E-01
8,17Networks_LH_VisPeri_ExStrInf_2,2,-1.48E+00
9,17Networks_LH_VisPeri_ExStrInf_3,2,-1.09E+00
10,17Networks_LH_VisPeri_StriCal_1,2,-1.52E+00
11,17Networks_LH_VisPeri_ExStrSup_1,2,-1.40E+00
12,17Networks_LH_VisPeri_ExStrSup_2,2,-1.48E+00
13,17Networks_LH_SomMotA_1,3,-6.39E-01
14,17Networks_LH_SomMotA_2,3,-1.07E+00
15,17Networks_LH_SomMotA_3,3,-1.55E+00
16,17Networks_LH_SomMotA_4,3,-1.43E+00
17,17Networks_LH_SomMotA_5,3,-1.29E+00
18,17Networks_LH_SomMotA_6,3,-9.57E-01
19,17Networks_LH_SomMotA_7,3,-1.40E+00
20,17Networks_LH_SomMotA_8,3,-1.55E+00
21,17Networks_LH_SomMotB_Aud_1,4,-4.63E-02
22,17Networks_LH_SomMotB_Aud_2,4,-6.59E-01
23,17Networks_LH_SomMotB_S2_1,4,-7.17E-01
24,17Networks_LH_SomMotB_S2_2,4,-6.26E-01
25,17Networks_LH_SomMotB_Aud_3,4,-1.78E-01
26,17Networks_LH_SomMotB_S2_3,4,-6.36E-01
27,17Networks_LH_SomMotB_Cent_1,4,-1.11E+00
28,17Networks_LH_SomMotB_Cent_2,4,-8.54E-01
29,17Networks_LH_DorsAttnA_TempOcc_1,5,2.41E-01
30,17Networks_LH_DorsAttnA_TempOcc_2,5,-5.33E-01
31,17Networks_LH_DorsAttnA_ParOcc_1,5,-7.86E-01
32,17Networks_LH_DorsAttnA_SPL_1,5,-5.57E-01
33,17Networks_LH_DorsAttnA_SPL_2,5,-8.02E-01
34,17Networks_LH_DorsAttnA_SPL_3,5,-5.33E-01
35,17Networks_LH_DorsAttnB_PostC_1,6,-2.39E-01
36,17Networks_LH_DorsAttnB_PostC_2,6,-6.66E-01
37,17Networks_LH_DorsAttnB_PostC_3,6,-1.00E+00
38,17Networks_LH_DorsAttnB_PostC_4,6,-8.81E-01
39,17Networks_LH_DorsAttnB_FEF_1,6,-6.36E-02
40,17Networks_LH_SalVentAttnA_ParOper_1,7,1.94E-01
41,17Networks_LH_SalVentAttnA_Ins_1,7,4.15E-01
42,17Networks_LH_SalVentAttnA_FrOper_1,7,-5.91E-04
43,17Networks_LH_SalVentAttnA_FrOper_2,7,3.72E-01
44,17Networks_LH_SalVentAttnA_ParMed_1,7,-4.44E-01
45,17Networks_LH_SalVentAttnA_FrMed_1,7,3.93E-01
