ROI_number,ROI_label,Network,Network color
1,17Networks_LH_VisCent_ExStr_1,VisCent,darkblue
2,17Networks_LH_VisCent_ExStr_2,VisCent,darkblue
3,17Networks_LH_VisCent_Striate_1,VisCent,darkblue
4,17Networks_LH_VisCent_ExStr_3,VisCent,darkblue
5,17Networks_LH_VisCent_ExStr_4,VisCent,darkblue
6,17Networks_LH_VisCent_ExStr_5,VisCent,darkblue
101,17Networks_RH_VisCent_ExStr_1,VisCent,darkblue
102,17Networks_RH_VisCent_ExStr_2,VisCent,darkblue
103,17Networks_RH_VisCent_Striate_1,VisCent,darkblue
104,17Networks_RH_VisCent_ExStr_3,VisCent,darkblue
105,17Networks_RH_VisCent_ExStr_4,VisCent,darkblue
106,17Networks_RH_VisCent_ExStr_5,VisCent,darkblue
7,17Networks_LH_VisPeri_ExStrInf_1,VisPeri,purple3
8,17Networks_LH_VisPeri_ExStrInf_2,VisPeri,purple3
9,17Networks_LH_VisPeri_ExStrInf_3,VisPeri,purple3
10,17Networks_LH_VisPeri_StriCal_1,VisPeri,purple3
11,17Networks_LH_VisPeri_ExStrSup_1,VisPeri,purple3
12,17Networks_LH_VisPeri_ExStrSup_2,VisPeri,purple3
107,17Networks_RH_VisPeri_ExStrInf_1,VisPeri,purple3
108,17Networks_RH_VisPeri_ExStrInf_2,VisPeri,purple3
109,17Networks_RH_VisPeri_StriCal_1,VisPeri,purple3
110,17Networks_RH_VisPeri_ExStrSup_1,VisPeri,purple3
111,17Networks_RH_VisPeri_ExStrSup_2,VisPeri,purple3
112,17Networks_RH_VisPeri_ExStrSup_3,VisPeri,purple3
13,17Networks_LH_SomMotA_1,SomMotA,turquoise4
14,17Networks_LH_SomMotA_2,SomMotA,turquoise4
15,17Networks_LH_SomMotA_3,SomMotA,turquoise4
16,17Networks_LH_SomMotA_4,SomMotA,turquoise4
17,17Networks_LH_SomMotA_5,SomMotA,turquoise4
18,17Networks_LH_SomMotA_6,SomMotA,turquoise4
19,17Networks_LH_SomMotA_7,SomMotA,turquoise4
20,17Networks_LH_SomMotA_8,SomMotA,turquoise4
113,17Networks_RH_SomMotA_1,SomMotA,turquoise4
114,17Networks_RH_SomMotA_2,SomMotA,turquoise4
115,17Networks_RH_SomMotA_3,SomMotA,turquoise4
116,17Networks_RH_SomMotA_4,SomMotA,turquoise4
117,17Networks_RH_SomMotA_5,SomMotA,turquoise4
118,17Networks_RH_SomMotA_6,SomMotA,turquoise4
